,group,year,age,population
1120,20-65,2002,54,536332
1121,20-65,2002,55,500849
1122,20-65,2002,56,336773
1123,20-65,2002,57,396374
1124,20-65,2002,58,358128
1125,20-65,2002,59,470587
1126,20-65,2002,60,609746
1127,20-65,2002,61,629279
1128,20-65,2002,62,684677
1129,20-65,2002,63,709233
1130,20-65,2002,64,731115
1131,20-65,2002,65,584768
1132,65-80,2002,66,488460
1133,65-80,2002,67,361213
1134,65-80,2002,68,321007
1135,65-80,2002,69,402723
1136,65-80,2002,70,421930
1137,65-80,2002,71,495262
1138,65-80,2002,72,445368
1139,65-80,2002,73,458391
1140,65-80,2002,74,418113
1141,65-80,2002,75,379883
1142,65-80,2002,76,343124
1143,65-80,2002,77,306442
1144,65-80,2002,78,255399
1145,65-80,2002,79,216072
1148,0-20,2003,0,387328
1149,0-20,2003,1,371672
1150,0-20,2003,2,382378
1151,0-20,2003,3,387113
1152,0-20,2003,4,411049
1153,0-20,2003,5,428806
1154,0-20,2003,6,463231
1155,0-20,2003,7,481205
1156,0-20,2003,8,500639
1157,0-20,2003,9,530373
1158,0-20,2003,10,571354
1159,0-20,2003,11,612992
1160,0-20,2003,12,644834
1161,0-20,2003,13,676018
1162,0-20,2003,14,720485
1163,0-20,2003,15,746380
1164,0-20,2003,16,792452
1165,0-20,2003,17,770321
1166,0-20,2003,18,789260
1167,20-65,2003,19,803927
1168,20-65,2003,20,734468
1169,20-65,2003,21,712843
1170,20-65,2003,22,729089
1171,20-65,2003,23,691187
1172,20-65,2003,24,687897
1173,20-65,2003,25,666961
1174,20-65,2003,26,701872
1175,20-65,2003,27,689309
1176,20-65,2003,28,672424
1177,20-65,2003,29,655276
1178,20-65,2003,30,676524
1179,20-65,2003,31,670230
1180,20-65,2003,32,665308
1181,20-65,2003,33,615045
1182,20-65,2003,34,626708
1183,20-65,2003,35,620477
1184,20-65,2003,36,641065
1185,20-65,2003,37,636599
1186,20-65,2003,38,667791
1187,20-65,2003,39,714695
1188,20-65,2003,40,734888
1189,20-65,2003,41,762582
1190,20-65,2003,42,792194
1191,20-65,2003,43,760410
1192,20-65,2003,44,756448
1193,20-65,2003,45,729030
1194,20-65,2003,46,726086
1195,20-65,2003,47,682125
1196,20-65,2003,48,704328
1197,20-65,2003,49,645889
1198,20-65,2003,50,677229
1199,20-65,2003,51,675730
1200,20-65,2003,52,670104
1201,20-65,2003,53,698854
1202,20-65,2003,54,581530
1203,20-65,2003,55,519486
1204,20-65,2003,56,501339
1205,20-65,2003,57,329888
1206,20-65,2003,58,386914
1207,20-65,2003,59,347768
1208,20-65,2003,60,451653
1209,20-65,2003,61,589851
1210,20-65,2003,62,608640
1211,20-65,2003,63,659686
1212,20-65,2003,64,689407
1213,20-65,2003,65,710497
1214,65-80,2003,66,571512
1215,65-80,2003,67,476017
1216,65-80,2003,68,354929
1217,65-80,2003,69,302145
1218,65-80,2003,70,383632
1219,65-80,2003,71,393004
1220,65-80,2003,72,471537
1221,65-80,2003,73,420369
1222,65-80,2003,74,432265
1223,65-80,2003,75,391779
1224,65-80,2003,76,357524
1225,65-80,2003,77,318303
1226,65-80,2003,78,284948
1227,65-80,2003,79,235252
1230,0-20,2004,0,405347
1231,0-20,2004,1,386089
1232,0-20,2004,2,370978
1233,0-20,2004,3,381850
1234,0-20,2004,4,386618
1235,0-20,2004,5,410588
1236,0-20,2004,6,428392
1237,0-20,2004,7,462726
1238,0-20,2004,8,480769
1239,0-20,2004,9,500131
1240,0-20,2004,10,529894
1241,0-20,2004,11,570866
1242,0-20,2004,12,612404
1243,0-20,2004,13,644281
1244,0-20,2004,14,675368
1245,0-20,2004,15,719754
1246,0-20,2004,16,745630
1247,0-20,2004,17,791630
1248,0-20,2004,18,769747
1249,20-65,2004,19,788286
1250,20-65,2004,20,802820
1251,20-65,2004,21,733149
1252,20-65,2004,22,711307
1253,20-65,2004,23,727168
1254,20-65,2004,24,689061
1255,20-65,2004,25,685539
1256,20-65,2004,26,664726
1257,20-65,2004,27,699322
1258,20-65,2004,28,686783
1259,20-65,2004,29,669854
1260,20-65,2004,30,652652
1261,20-65,2004,31,673856
1262,20-65,2004,32,667652
1263,20-65,2004,33,662686
1264,20-65,2004,34,612440
1265,20-65,2004,35,623791
1266,20-65,2004,36,617505
1267,20-65,2004,37,637806
1268,20-65,2004,38,633302
1269,20-65,2004,39,664047
1270,20-65,2004,40,710079
1271,20-65,2004,41,730282
1272,20-65,2004,42,757502
1273,20-65,2004,43,786488
1274,20-65,2004,44,754586
1275,20-65,2004,45,749866
1276,20-65,2004,46,722509
1277,20-65,2004,47,719366
1278,20-65,2004,48,675181
1279,20-65,2004,49,696742
1280,20-65,2004,50,637821
1281,20-65,2004,51,668706
1282,20-65,2004,52,666831
1283,20-65,2004,53,660546
1284,20-65,2004,54,688710
1285,20-65,2004,55,572378
1286,20-65,2004,56,510760
1287,20-65,2004,57,492591
1288,20-65,2004,58,323700
1289,20-65,2004,59,379189
1290,20-65,2004,60,340248
1291,20-65,2004,61,441226
1292,20-65,2004,62,575973
1293,20-65,2004,63,592980
1294,20-65,2004,64,641707
1295,20-65,2004,65,669248
1296,65-80,2004,66,688230
1297,65-80,2004,67,552806
1298,65-80,2004,68,458676
1299,65-80,2004,69,340801
1300,65-80,2004,70,289064
1301,65-80,2004,71,366528
1302,65-80,2004,72,374176
1303,65-80,2004,73,447390
1304,65-80,2004,74,396048
1305,65-80,2004,75,405432
1306,65-80,2004,76,365504
1307,65-80,2004,77,331822
1308,65-80,2004,78,293562
1309,65-80,2004,79,260243
1312,0-20,2005,0,423921
1313,0-20,2005,1,404225
1314,0-20,2005,2,385616
1315,0-20,2005,3,370664
1316,0-20,2005,4,381581
1317,0-20,2005,5,386319
1318,0-20,2005,6,410285
1319,0-20,2005,7,428152
1320,0-20,2005,8,462443
1321,0-20,2005,9,480518
1322,0-20,2005,10,499825
1323,0-20,2005,11,529606
1324,0-20,2005,12,570629
1325,0-20,2005,13,612110
1326,0-20,2005,14,643908
1327,0-20,2005,15,674997
1328,0-20,2005,16,719248
1329,0-20,2005,17,745131
1330,0-20,2005,18,791186
1331,20-65,2005,19,769033
1332,20-65,2005,20,787378
1333,20-65,2005,21,801547
1334,20-65,2005,22,731858
1335,20-65,2005,23,709766
1336,20-65,2005,24,725518
1337,20-65,2005,25,687097
1338,20-65,2005,26,683541
1339,20-65,2005,27,662518
1340,20-65,2005,28,697058
1341,20-65,2005,29,684516
1342,20-65,2005,30,667376
1343,20-65,2005,31,650353
1344,20-65,2005,32,671321
1345,20-65,2005,33,665150
1346,20-65,2005,34,659997
1347,20-65,2005,35,609691
1348,20-65,2005,36,620754
1349,20-65,2005,37,614192
1350,20-65,2005,38,634339
1351,20-65,2005,39,629953
1352,20-65,2005,40,659748
1353,20-65,2005,41,705490
1354,20-65,2005,42,725175
1355,20-65,2005,43,751904
1356,20-65,2005,44,780446
1357,20-65,2005,45,747948
1358,20-65,2005,46,743195
1359,20-65,2005,47,715255
1360,20-65,2005,48,712080
1361,20-65,2005,49,667864
1362,20-65,2005,50,687955
1363,20-65,2005,51,629801
1364,20-65,2005,52,659761
1365,20-65,2005,53,657437
1366,20-65,2005,54,650813
1367,20-65,2005,55,677317
1368,20-65,2005,56,562936
1369,20-65,2005,57,501664
1370,20-65,2005,58,483599
1371,20-65,2005,59,317386
1372,20-65,2005,60,370695
1373,20-65,2005,61,332475
1374,20-65,2005,62,430518
1375,20-65,2005,63,561554
1376,20-65,2005,64,576941
1377,20-65,2005,65,623213
1378,65-80,2005,66,648902
1379,65-80,2005,67,665896
1380,65-80,2005,68,533429
1381,65-80,2005,69,441046
1382,65-80,2005,70,326572
1383,65-80,2005,71,276017
1384,65-80,2005,72,349142
1385,65-80,2005,73,355360
1386,65-80,2005,74,423431
1387,65-80,2005,75,371749
1388,65-80,2005,76,378685
1389,65-80,2005,77,339852
1390,65-80,2005,78,306648
1391,65-80,2005,79,269309
1394,0-20,2006,0,422564
1395,0-20,2006,1,422882
1396,0-20,2006,2,403797
1397,0-20,2006,3,385377
1398,0-20,2006,4,370464
1399,0-20,2006,5,381380
1400,0-20,2006,6,386129
1401,0-20,2006,7,410123
1402,0-20,2006,8,427970
1403,0-20,2006,9,462276
1404,0-20,2006,10,480344
1405,0-20,2006,11,499628
1406,0-20,2006,12,529457
1407,0-20,2006,13,570368
1408,0-20,2006,14,611923
1409,0-20,2006,15,643606
1410,0-20,2006,16,674710
1411,0-20,2006,17,718971
1412,0-20,2006,18,744795
1413,20-65,2006,19,790667
1414,20-65,2006,20,768292
1415,20-65,2006,21,786490
1416,20-65,2006,22,800313
1417,20-65,2006,23,730541
1418,20-65,2006,24,708305
1419,20-65,2006,25,723790
1420,20-65,2006,26,685204
1421,20-65,2006,27,681577
1422,20-65,2006,28,660522
1423,20-65,2006,29,694893
1424,20-65,2006,30,682087
1425,20-65,2006,31,664954
1426,20-65,2006,32,647906
1427,20-65,2006,33,668491
1428,20-65,2006,34,662582
1429,20-65,2006,35,656903
1430,20-65,2006,36,606845
1431,20-65,2006,37,617628
1432,20-65,2006,38,610847
1433,20-65,2006,39,630751
1434,20-65,2006,40,625791
1435,20-65,2006,41,655466
1436,20-65,2006,42,700574
1437,20-65,2006,43,719740
1438,20-65,2006,44,746257
1439,20-65,2006,45,773590
1440,20-65,2006,46,741254
1441,20-65,2006,47,736042
1442,20-65,2006,48,707974
1443,20-65,2006,49,704410
1444,20-65,2006,50,659267
1445,20-65,2006,51,679269
1446,20-65,2006,52,621275
1447,20-65,2006,53,650385
1448,20-65,2006,54,647691
1449,20-65,2006,55,640283
1450,20-65,2006,56,665379
1451,20-65,2006,57,552992
1452,20-65,2006,58,492364
1453,20-65,2006,59,474073
1454,20-65,2006,60,310361
1455,20-65,2006,61,361573
1456,20-65,2006,62,324191
1457,20-65,2006,63,419025
1458,20-65,2006,64,546444
1459,20-65,2006,65,560426
1460,65-80,2006,66,604238
1461,65-80,2006,67,627542
1462,65-80,2006,68,642150
1463,65-80,2006,69,513261
1464,65-80,2006,70,422527
1465,65-80,2006,71,311647
1466,65-80,2006,72,262456
1467,65-80,2006,73,331023
1468,65-80,2006,74,335715
1469,65-80,2006,75,398349
1470,65-80,2006,76,346857
1471,65-80,2006,77,351161
1472,65-80,2006,78,313430
1473,65-80,2006,79,280872
1476,0-20,2007,0,456726
1477,0-20,2007,1,421572
1478,0-20,2007,2,422590
1479,0-20,2007,3,403597
1480,0-20,2007,4,385225
1481,0-20,2007,5,370309
1482,0-20,2007,6,381234
1483,0-20,2007,7,385970
1484,0-20,2007,8,410024
1485,0-20,2007,9,427838
1486,0-20,2007,10,462163
1487,0-20,2007,11,480246
1488,0-20,2007,12,499467
1489,0-20,2007,13,529291
1490,0-20,2007,14,570187
1491,0-20,2007,15,611631
1492,0-20,2007,16,643393
1493,0-20,2007,17,674603
1494,0-20,2007,18,719032
1495,20-65,2007,19,744764
1496,20-65,2007,20,790435
1497,20-65,2007,21,767922
1498,20-65,2007,22,785859
1499,20-65,2007,23,799456
1500,20-65,2007,24,729678
1501,20-65,2007,25,707116
1502,20-65,2007,26,722451
1503,20-65,2007,27,683657
1504,20-65,2007,28,679772
1505,20-65,2007,29,658655
1506,20-65,2007,30,692656
1507,20-65,2007,31,679834
1508,20-65,2007,32,662693
1509,20-65,2007,33,645474
1510,20-65,2007,34,665972
1511,20-65,2007,35,659757
1512,20-65,2007,36,654126
1513,20-65,2007,37,604063
1514,20-65,2007,38,614695
1515,20-65,2007,39,607790
1516,20-65,2007,40,626906
1517,20-65,2007,41,622187
1518,20-65,2007,42,651273
1519,20-65,2007,43,695758
1520,20-65,2007,44,714699
1521,20-65,2007,45,740324
1522,20-65,2007,46,767380
1523,20-65,2007,47,734623
1524,20-65,2007,48,729204
1525,20-65,2007,49,700890
1526,20-65,2007,50,696506
1527,20-65,2007,51,651739
1528,20-65,2007,52,670897
1529,20-65,2007,53,613279
1530,20-65,2007,54,641523
1531,20-65,2007,55,637893
1532,20-65,2007,56,630195
1533,20-65,2007,57,654162
1534,20-65,2007,58,543343
1535,20-65,2007,59,483226
1536,20-65,2007,60,464451
1537,20-65,2007,61,303649
1538,20-65,2007,62,352970
1539,20-65,2007,63,315865
1540,20-65,2007,64,407768
1541,20-65,2007,65,531830
1542,65-80,2007,66,543977
1543,65-80,2007,67,585217
1544,65-80,2007,68,606013
1545,65-80,2007,69,618593
1546,65-80,2007,70,492589
1547,65-80,2007,71,403839
1548,65-80,2007,72,296810
1549,65-80,2007,73,248942
1550,65-80,2007,74,312585
1551,65-80,2007,75,315824
1552,65-80,2007,76,373412
1553,65-80,2007,77,321820
1554,65-80,2007,78,324245
1555,65-80,2007,79,287258
1558,0-20,2008,0,468359
1559,0-20,2008,1,455634
1560,0-20,2008,2,421154
1561,0-20,2008,3,422374
1562,0-20,2008,4,403425
1563,0-20,2008,5,385049
1564,0-20,2008,6,370156
1565,0-20,2008,7,381142
1566,0-20,2008,8,385797
1567,0-20,2008,9,409851
1568,0-20,2008,10,427647
1569,0-20,2008,11,462040
1570,0-20,2008,12,480093
1571,0-20,2008,13,499318
1572,0-20,2008,14,529052
1573,0-20,2008,15,569872
1574,0-20,2008,16,611384
1575,0-20,2008,17,643340
1576,0-20,2008,18,674784
1577,20-65,2008,19,719153
1578,20-65,2008,20,744442
1579,20-65,2008,21,789864
1580,20-65,2008,22,767130
1581,20-65,2008,23,784918
1582,20-65,2008,24,798183
1583,20-65,2008,25,728296
1584,20-65,2008,26,705858
1585,20-65,2008,27,720802
1586,20-65,2008,28,681780
1587,20-65,2008,29,677726
1588,20-65,2008,30,656395
1589,20-65,2008,31,690390
1590,20-65,2008,32,677127
1591,20-65,2008,33,660039
1592,20-65,2008,34,642857
1593,20-65,2008,35,663008
1594,20-65,2008,36,656870
1595,20-65,2008,37,651058
1596,20-65,2008,38,601030
1597,20-65,2008,39,611385
1598,20-65,2008,40,603740
1599,20-65,2008,41,623030
1600,20-65,2008,42,618044
1601,20-65,2008,43,646601
1602,20-65,2008,44,690574
1603,20-65,2008,45,708660
1604,20-65,2008,46,734161
1605,20-65,2008,47,760466
1606,20-65,2008,48,727414
1607,20-65,2008,49,721667
1608,20-65,2008,50,692503
1609,20-65,2008,51,688681
1610,20-65,2008,52,643575
1611,20-65,2008,53,661854
1612,20-65,2008,54,604786
1613,20-65,2008,55,631715
1614,20-65,2008,56,627732
1615,20-65,2008,57,619740
1616,20-65,2008,58,642378
1617,20-65,2008,59,533422
1618,20-65,2008,60,473316
1619,20-65,2008,61,454188
1620,20-65,2008,62,296741
1621,20-65,2008,63,344195
1622,20-65,2008,64,307640
1623,20-65,2008,65,396210
1624,65-80,2008,66,516712
1625,65-80,2008,67,527167
1626,65-80,2008,68,565633
1627,65-80,2008,69,584170
1628,65-80,2008,70,594360
1629,65-80,2008,71,471661
1630,65-80,2008,72,385018
1631,65-80,2008,73,281773
1632,65-80,2008,74,235271
1633,65-80,2008,75,294503
1634,65-80,2008,76,295961
1635,65-80,2008,77,348136
1636,65-80,2008,78,296707
1637,65-80,2008,79,297399
1640,0-20,2009,0,506342
1641,0-20,2009,1,467490
1642,0-20,2009,2,455343
1643,0-20,2009,3,421014
1644,0-20,2009,4,422286
1645,0-20,2009,5,403358
1646,0-20,2009,6,384980
1647,0-20,2009,7,370099
1648,0-20,2009,8,381053
1649,0-20,2009,9,385739
1650,0-20,2009,10,409758
1651,0-20,2009,11,427583
1652,0-20,2009,12,461973
1653,0-20,2009,13,479982
1654,0-20,2009,14,499188
1655,0-20,2009,15,528834
1656,0-20,2009,16,569791
1657,0-20,2009,17,611464
1658,0-20,2009,18,643568
1659,20-65,2009,19,674757
1660,20-65,2009,20,718870
1661,20-65,2009,21,743727
1662,20-65,2009,22,789009
1663,20-65,2009,23,766169
1664,20-65,2009,24,783719
1665,20-65,2009,25,796745
1666,20-65,2009,26,726856
1667,20-65,2009,27,704235
1668,20-65,2009,28,718957
1669,20-65,2009,29,679794
1670,20-65,2009,30,675420
1671,20-65,2009,31,654077
1672,20-65,2009,32,687764
1673,20-65,2009,33,674214
1674,20-65,2009,34,657145
1675,20-65,2009,35,639767
1676,20-65,2009,36,659986
1677,20-65,2009,37,653660
1678,20-65,2009,38,647738
1679,20-65,2009,39,597672
1680,20-65,2009,40,607550
1681,20-65,2009,41,599909
1682,20-65,2009,42,618820
1683,20-65,2009,43,613493
1684,20-65,2009,44,641732
1685,20-65,2009,45,684952
1686,20-65,2009,46,702672
1687,20-65,2009,47,727566
1688,20-65,2009,48,753351
1689,20-65,2009,49,720169
1690,20-65,2009,50,713451
1691,20-65,2009,51,684406
1692,20-65,2009,52,680152
1693,20-65,2009,53,635288
1694,20-65,2009,54,652749
1695,20-65,2009,55,595893
1696,20-65,2009,56,621907
1697,20-65,2009,57,617270
1698,20-65,2009,58,609069
1699,20-65,2009,59,630477
1700,20-65,2009,60,522834
1701,20-65,2009,61,463107
1702,20-65,2009,62,444080
1703,20-65,2009,63,289651
1704,20-65,2009,64,335309
1705,20-65,2009,65,299205
1706,65-80,2009,66,384731
1707,65-80,2009,67,501490
1708,65-80,2009,68,510420
1709,65-80,2009,69,545741
1710,65-80,2009,70,561904
1711,65-80,2009,71,569342
1712,65-80,2009,72,450466
1713,65-80,2009,73,365810
1714,65-80,2009,74,266524
1715,65-80,2009,75,221534
1716,65-80,2009,76,276316
1717,65-80,2009,77,275755
1718,65-80,2009,78,323025
1719,65-80,2009,79,272033
1722,0-20,2010,0,508544
1723,0-20,2010,1,505661
1724,0-20,2010,2,467246
1725,0-20,2010,3,455233
1726,0-20,2010,4,420906
1727,0-20,2010,5,422218
1728,0-20,2010,6,403308
1729,0-20,2010,7,384907
1730,0-20,2010,8,370022
1731,0-20,2010,9,381004
1732,0-20,2010,10,385654
1733,0-20,2010,11,409693
1734,0-20,2010,12,427467
1735,0-20,2010,13,461872
1736,0-20,2010,14,479825
1737,0-20,2010,15,499029
1738,0-20,2010,16,528755
1739,0-20,2010,17,569782
1740,0-20,2010,18,611415
1741,20-65,2010,19,643322
1742,20-65,2010,20,674299
1743,20-65,2010,21,718201
1744,20-65,2010,22,742963
1745,20-65,2010,23,788135
1746,20-65,2010,24,765217
1747,20-65,2010,25,782606
1748,20-65,2010,26,795452
1749,20-65,2010,27,725546
1750,20-65,2010,28,702763
1751,20-65,2010,29,717361
1752,20-65,2010,30,677887
1753,20-65,2010,31,673445
1754,20-65,2010,32,651925
1755,20-65,2010,33,685529
1756,20-65,2010,34,671920
1757,20-65,2010,35,654644
1758,20-65,2010,36,637385
1759,20-65,2010,37,657315
1760,20-65,2010,38,650963
1761,20-65,2010,39,645033
1762,20-65,2010,40,594918
1763,20-65,2010,41,604405
1764,20-65,2010,42,596712
1765,20-65,2010,43,615378
1766,20-65,2010,44,609855
1767,20-65,2010,45,637427
1768,20-65,2010,46,680321
1769,20-65,2010,47,697689
1770,20-65,2010,48,722052
1771,20-65,2010,49,747292
1772,20-65,2010,50,713591
1773,20-65,2010,51,706685
1774,20-65,2010,52,677394
1775,20-65,2010,53,672697
1776,20-65,2010,54,628123
1777,20-65,2010,55,644421
1778,20-65,2010,56,587804
1779,20-65,2010,57,612868
1780,20-65,2010,58,607795
1781,20-65,2010,59,599276
1782,20-65,2010,60,618928
1783,20-65,2010,61,512616
1784,20-65,2010,62,453556
1785,20-65,2010,63,434344
1786,20-65,2010,64,283131
1787,20-65,2010,65,326467
1788,65-80,2010,66,290995
1789,65-80,2010,67,373446
1790,65-80,2010,68,486387
1791,65-80,2010,69,493791
1792,65-80,2010,70,525863
1793,65-80,2010,71,539600
1794,65-80,2010,72,544535
1795,65-80,2010,73,429479
1796,65-80,2010,74,346622
1797,65-80,2010,75,251564
1798,65-80,2010,76,207988
1799,65-80,2010,77,257951
1800,65-80,2010,78,255871
1801,65-80,2010,79,298154
1804,0-20,2011,0,494011
1805,0-20,2011,1,507842
1806,0-20,2011,2,505437
1807,0-20,2011,3,467119
1808,0-20,2011,4,455154
1809,0-20,2011,5,420854
1810,0-20,2011,6,422187
1811,0-20,2011,7,403278
1812,0-20,2011,8,384867
1813,0-20,2011,9,369950
1814,0-20,2011,10,380977
1815,0-20,2011,11,385591
1816,0-20,2011,12,409631
1817,0-20,2011,13,427347
1818,0-20,2011,14,461745
1819,0-20,2011,15,479679
1820,0-20,2011,16,498928
1821,0-20,2011,17,528684
1822,0-20,2011,18,569619
1823,20-65,2011,19,611182
1824,20-65,2011,20,642984
1825,20-65,2011,21,673871
1826,20-65,2011,22,717720
1827,20-65,2011,23,742327
1828,20-65,2011,24,787453
1829,20-65,2011,25,764449
1830,20-65,2011,26,781755
1831,20-65,2011,27,794364
1832,20-65,2011,28,724370
1833,20-65,2011,29,701434
1834,20-65,2011,30,715821
1835,20-65,2011,31,676245
1836,20-65,2011,32,671549
1837,20-65,2011,33,649974
1838,20-65,2011,34,683524
1839,20-65,2011,35,669694
1840,20-65,2011,36,652407
1841,20-65,2011,37,635112
1842,20-65,2011,38,654906
1843,20-65,2011,39,648502
1844,20-65,2011,40,642361
1845,20-65,2011,41,592240
1846,20-65,2011,42,601458
1847,20-65,2011,43,593610
1848,20-65,2011,44,612186
1849,20-65,2011,45,606494
1850,20-65,2011,46,633719
1851,20-65,2011,47,675871
1852,20-65,2011,48,692920
1853,20-65,2011,49,716851
1854,20-65,2011,50,741397
1855,20-65,2011,51,707542
1856,20-65,2011,52,700242
1857,20-65,2011,53,670673
1858,20-65,2011,54,665727
1859,20-65,2011,55,620977
1860,20-65,2011,56,636491
1861,20-65,2011,57,579912
1862,20-65,2011,58,604109
1863,20-65,2011,59,598425
1864,20-65,2011,60,589129
1865,20-65,2011,61,607168
1866,20-65,2011,62,502420
1867,20-65,2011,63,443842
1868,20-65,2011,64,424651
1869,20-65,2011,65,276356
1870,65-80,2011,66,317528
1871,65-80,2011,67,282603
1872,65-80,2011,68,361966
1873,65-80,2011,69,470732
1874,65-80,2011,70,476296
1875,65-80,2011,71,505158
1876,65-80,2011,72,516543
1877,65-80,2011,73,518959
1878,65-80,2011,74,407461
1879,65-80,2011,75,326616
1880,65-80,2011,76,235858
1881,65-80,2011,77,194098
1882,65-80,2011,78,239047
1883,65-80,2011,79,235633
1886,0-20,2012,0,498975
1887,0-20,2012,1,493356
1888,0-20,2012,2,507656
1889,0-20,2012,3,505325
1890,0-20,2012,4,467005
1891,0-20,2012,5,455095
1892,0-20,2012,6,420822
1893,0-20,2012,7,422104
1894,0-20,2012,8,403225
1895,0-20,2012,9,384845
1896,0-20,2012,10,369864
1897,0-20,2012,11,380938
1898,0-20,2012,12,385536
1899,0-20,2012,13,409571
1900,0-20,2012,14,427214
1901,0-20,2012,15,461601
1902,0-20,2012,16,479618
1903,0-20,2012,17,498888
1904,0-20,2012,18,528571
1905,20-65,2012,19,569467
1906,20-65,2012,20,610911
1907,20-65,2012,21,642654
1908,20-65,2012,22,673409
1909,20-65,2012,23,717141
1910,20-65,2012,24,741708
1911,20-65,2012,25,786701
1912,20-65,2012,26,763694
1913,20-65,2012,27,780792
1914,20-65,2012,28,793319
1915,20-65,2012,29,723255
1916,20-65,2012,30,700176
1917,20-65,2012,31,714449
1918,20-65,2012,32,674597
1919,20-65,2012,33,669788
1920,20-65,2012,34,648193
1921,20-65,2012,35,681425
1922,20-65,2012,36,667508
1923,20-65,2012,37,650087
1924,20-65,2012,38,632859
1925,20-65,2012,39,652532
1926,20-65,2012,40,645986
1927,20-65,2012,41,639673
1928,20-65,2012,42,589634
1929,20-65,2012,43,598725
1930,20-65,2012,44,590545
1931,20-65,2012,45,608975
1932,20-65,2012,46,603191
1933,20-65,2012,47,629853
1934,20-65,2012,48,671496
1935,20-65,2012,49,688262
1936,20-65,2012,50,711501
1937,20-65,2012,51,735508
1938,20-65,2012,52,701267
1939,20-65,2012,53,693683
1940,20-65,2012,54,664039
1941,20-65,2012,55,658795
1942,20-65,2012,56,613713
1943,20-65,2012,57,628380
1944,20-65,2012,58,571936
1945,20-65,2012,59,595309
1946,20-65,2012,60,588974
1947,20-65,2012,61,578908
1948,20-65,2012,62,595366
1949,20-65,2012,63,491996
1950,20-65,2012,64,434253
1951,20-65,2012,65,414826
1952,65-80,2012,66,269722
1953,65-80,2012,67,308812
1954,65-80,2012,68,274300
1955,65-80,2012,69,350510
1956,65-80,2012,70,455304
1957,65-80,2012,71,458938
1958,65-80,2012,72,484622
1959,65-80,2012,73,493947
1960,65-80,2012,74,493827
1961,65-80,2012,75,385951
1962,65-80,2012,76,307464
1963,65-80,2012,77,220555
1964,65-80,2012,78,180541
1965,65-80,2012,79,220884
1968,0-20,2013,0,517301
1969,0-20,2013,1,498371
1970,0-20,2013,2,493244
1971,0-20,2013,3,507600
1972,0-20,2013,4,505271
1973,0-20,2013,5,466956
1974,0-20,2013,6,455065
1975,0-20,2013,7,420828
1976,0-20,2013,8,422107
1977,0-20,2013,9,403202
1978,0-20,2013,10,384840
1979,0-20,2013,11,369865
1980,0-20,2013,12,380934
1981,0-20,2013,13,385468
1982,0-20,2013,14,409546
1983,0-20,2013,15,427125
1984,0-20,2013,16,461646
1985,0-20,2013,17,481022
1986,0-20,2013,18,502395
1987,20-65,2013,19,532948
1988,20-65,2013,20,573923
1989,20-65,2013,21,614901
1990,20-65,2013,22,646471
1991,20-65,2013,23,676892
1992,20-65,2013,24,719970
1993,20-65,2013,25,743412
1994,20-65,2013,26,787692
1995,20-65,2013,27,764199
1996,20-65,2013,28,780740
1997,20-65,2013,29,792949
1998,20-65,2013,30,722705
1999,20-65,2013,31,699290
2000,20-65,2013,32,713301
2001,20-65,2013,33,673094
2002,20-65,2013,34,668208
2003,20-65,2013,35,646372
2004,20-65,2013,36,679662
2005,20-65,2013,37,665450
2006,20-65,2013,38,647888
2007,20-65,2013,39,630729
2008,20-65,2013,40,650182
2009,20-65,2013,41,643465
2010,20-65,2013,42,637092
2011,20-65,2013,43,586960
2012,20-65,2013,44,595845
2013,20-65,2013,45,587394
2014,20-65,2013,46,605694
2015,20-65,2013,47,599831
2016,20-65,2013,48,625896
2017,20-65,2013,49,666952
2018,20-65,2013,50,683177
2019,20-65,2013,51,705975
2020,20-65,2013,52,729360
2021,20-65,2013,53,694910
2022,20-65,2013,54,686947
2023,20-65,2013,55,656703
2024,20-65,2013,56,651263
2025,20-65,2013,57,605913
2026,20-65,2013,58,619955
2027,20-65,2013,59,563535
2028,20-65,2013,60,585612
2029,20-65,2013,61,578626
2030,20-65,2013,62,568125
2031,20-65,2013,63,583070
2032,20-65,2013,64,481310
2033,20-65,2013,65,424106
2034,65-80,2013,66,404613
2035,65-80,2013,67,262889
2036,65-80,2013,68,299639
2037,65-80,2013,69,265621
2038,65-80,2013,70,338639
2039,65-80,2013,71,439209
2040,65-80,2013,72,441227
2041,65-80,2013,73,463549
2042,65-80,2013,74,470627
2043,65-80,2013,75,468064
2044,65-80,2013,76,364264
2045,65-80,2013,77,288170
2046,65-80,2013,78,205512
2047,65-80,2013,79,166874
2050,0-20,2014,0,500484
2051,0-20,2014,1,516810
2052,0-20,2014,2,498240
2053,0-20,2014,3,493186
2054,0-20,2014,4,507595
2055,0-20,2014,5,505260
2056,0-20,2014,6,466967
2057,0-20,2014,7,455060
2058,0-20,2014,8,420812
2059,0-20,2014,9,422107
2060,0-20,2014,10,403163
2061,0-20,2014,11,384829
2062,0-20,2014,12,369864
2063,0-20,2014,13,380885
2064,0-20,2014,14,385427
2065,0-20,2014,15,409399
2066,0-20,2014,16,427112
2067,0-20,2014,17,462666
2068,0-20,2014,18,483504
2069,20-65,2014,19,505129
2070,20-65,2014,20,534986
2071,20-65,2014,21,575090
2072,20-65,2014,22,615346
2073,20-65,2014,23,646632
2074,20-65,2014,24,676584
2075,20-65,2014,25,719107
